"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login Functionality for OpenCart E-commerce Website","Unsuccessful login with invalid or empty credentials","0","0","3","0","0"
"","Login Functionality for OpenCart E-commerce Website","Successful login with valid credentials","0","0","1","0","0"
"","Contact Us Feature","Contact Us scenario with different set of data","0","0","3","0","0"
"","Login Functionality for OpenCart E-commerce Website","Navigating to the forgotten password page","0","0","1","0","0"
"","Account Page Feature","Accounts page title","0","0","1","0","0"
"","Account Page Feature","Accounts section count","0","0","1","0","0"
